userId,movieId,rating,timestamp
1,0,4,964982703
1,1796,5,964981093
1,1790,2,964983094
1,1788,5,964983123
1,2302,5,964981208
1,291,5,964981179
1,1768,4,964982462
1,1755,5,964983861
1,1806,4,964982310
1,1743,2,964983546
1,307,4,964982563
1,314,4,964980962
1,1704,5,964983664
1,939,5,964983723
1,320,5,964982588
1,1691,4,964982310
1,1687,4,964982989
1,1734,5,964983263
1,2286,5,964983762
1,275,3,964982310
1,2991,4,964982903
1,899,5,964981872
1,1917,5,964981265
1,224,5,964981680
1,1905,5,964982242
1,1904,3,964982328
1,1883,5,964981278
1,898,5,964981827
1,1814,3,964982513
1,925,5,964984018
1,1866,4,964984169
1,1858,5,964982588
1,1850,5,964983414
1,1842,4,964982620
1,257,3,964982967
1,927,5,964983618
1,1826,5,964982242
1,1874,4,965719662
1,1674,2,964981775
1,325,4,964981710
1,1644,4,964981710
1,863,5,964981327
1,1517,5,964982791
1,2310,4,964981872
1,1516,4,964982563
1,418,4,964982346
1,1505,5,964982903
1,1503,4,964981888
1,1522,4,964981747
1,1493,5,964980523
1,1487,4,964984176
1,856,4,964982513
1,1480,5,964981710
1,1475,4,964982211
1,461,5,964984002
1,955,5,964981442
1,3673,5,964984002
1,436,3,964981208
1,1526,5,964982400
1,398,5,964981909
1,1543,5,964982838
1,1628,4,964981680
1,1617,5,964981710
1,2303,5,964984086
1,1601,4,964981725
1,1599,5,964982838
1,1597,5,964982791
1,1595,5,964982791
1,367,3,964982363
1,1577,5,964982876
1,1576,5,964982529
1,1567,4,964981725
1,1562,4,964982588
1,1559,4,964982838
1,1557,5,964982653
1,384,4,964980868
1,1556,3,964981710
1,1553,5,964982838
1,923,5,964981909
1,1444,4,964981710
1,2847,4,964981220
1,2836,5,964981855
1,43,5,964983815
1,2193,4,964982290
1,46,5,964982931
1,2182,5,964982703
1,2157,5,964981680
1,2526,5,964983484
1,5,4,964982224
1,2460,5,964983536
1,2145,5,964980868
1,915,4,964981855
1,2126,4,964980523
1,2571,4,964981799
1,2572,4,964981799
1,2573,5,964982328
1,2579,5,964984054
1,89,5,964980868
1,62,3,964982400
1,2581,5,964981144
1,914,5,964982951
1,2218,5,964982176
1,911,5,964980499
1,2372,5,964983873
1,2388,4,964982495
1,2259,4,964980896
1,2256,5,964982242
1,2254,5,964982271
1,2250,5,964982495
1,2216,5,964981872
1,2394,1,964983504
1,2248,4,964983034
1,2431,3,964981093
1,2226,5,964983282
1,2434,3,964983108
1,2440,5,964981107
1,2220,5,964981888
1,2219,5,964982191
1,907,5,964983737
1,2103,4,964981710
1,97,4,964982176
1,2603,4,964981725
1,1990,4,964983393
1,1987,5,964982620
1,1986,4,964982377
1,2788,5,964982363
1,2798,4,964982417
1,1979,4,964980523
1,184,5,964981208
1,2765,5,964981909
1,2802,4,964980694
1,1972,2,964982588
1,1971,4,964983080
1,1957,5,964981144
1,197,5,964981179
1,201,4,964980908
1,2,4,964981247
1,1946,5,964983000
1,190,3,964980985
1,1991,4,964983414
1,1994,5,964983393
1,2764,5,964983737
1,2608,4,964981775
1,2077,5,964982703
1,2636,4,964982271
1,124,5,964984041
